proteome #					mcrA					hsp70
proteome 1					 0						  4
proteome 2					 0						  2
proteome 3					 1						  3
proteome 4					 0						  4
proteome 5					 1						  2
proteome 6					 0						  0
proteome 7					 1						  2
proteome 8					 0						  5
proteome 9					 0						  1
proteome 10					 0						  3
proteome 11					 0						  6
proteome 12					 0						  6
proteome 13					 0						  3
proteome 14					 0						  2
proteome 15					 1						  1
proteome 16					 1						  1
proteome 17					 0						  4
proteome 18					 0						  8
proteome 19					 2						  1
proteome 20					 0						  3
proteome 21					 0						  5
proteome 22					 0						  9
proteome 23					 2						  2
proteome 24					 1						  2
proteome 25					 0						  5
proteome 26					 0						  1
proteome 27					 0						  1
proteome 28					 0						  1
proteome 29					 1						  0
proteome 30					 0						  1
proteome 31					 0						  7
proteome 32					 0						  4
proteome 33					 0						  0
proteome 34					 0						  2
proteome 35					 0						  1
proteome 36					 0						  3
proteome 37					 0						  1
proteome 38					 1						  1
proteome 39					 1						  1
proteome 40					 0						  2
proteome 41					 0						  1
proteome 42					 1						  3
proteome 43					 0						  3
proteome 44					 1						  1
proteome 45					 1						  3
proteome 46					 0						  2
proteome 47					 0						  1
proteome 48					 1						  1
proteome 49					 0						  3
proteome 50					 1						  3
